type,date,deviceid,roomno,reading
light,2015-02-13T16:50:03.3972708Z,light9,3,1081
temperature,2015-02-13T16:50:03.4052765Z,temperature0,4,21.24
energy,2015-02-13T16:50:03.4052765Z,energy0,4,3265
humidity,2015-02-13T16:50:03.4052765Z,humidity0,4,42
light,2015-02-13T16:50:03.4062702Z,light0,4,225
temperature,2015-02-13T16:50:03.4162832Z,temperature1,4,23.62
energy,2015-02-13T16:50:03.4172792Z,energy1,4,3911
humidity,2015-02-13T16:50:03.4172792Z,humidity1,4,66
light,2015-02-13T16:50:03.4172792Z,light1,4,37
temperature,2015-02-13T16:50:03.4262849Z,temperature2,4,21.86
energy,2015-02-13T16:50:03.4262849Z,energy2,4,2215
humidity,2015-02-13T16:50:03.4262849Z,humidity2,4,66
light,2015-02-13T16:50:03.4262849Z,light2,4,1368
temperature,2015-02-13T16:50:03.4352906Z,temperature3,4,58.08
energy,2015-02-13T16:50:03.4352906Z,energy3,4,11836
humidity,2015-02-13T16:50:03.4352906Z,humidity3,4,56
light,2015-02-13T16:50:03.4352906Z,light3,4,1135
temperature,2015-02-13T16:50:03.4483072Z,temperature4,4,26.9
energy,2015-02-13T16:50:03.4483072Z,energy4,4,3057
humidity,2015-02-13T16:50:03.4483072Z,humidity4,4,64
light,2015-02-13T16:50:03.4483072Z,light4,4,363
temperature,2015-02-13T16:50:03.4573348Z,temperature5,4,23.38
energy,2015-02-13T16:50:03.4583085Z,energy5,4,2115
humidity,2015-02-13T16:50:03.4583085Z,humidity5,4,140
light,2015-02-13T16:50:03.4583085Z,light5,4,332
temperature,2015-02-13T16:50:03.4653409Z,temperature6,4,24.22
energy,2015-02-13T16:50:03.4663138Z,energy6,4,4669
humidity,2015-02-13T16:50:03.4663138Z,humidity6,4,78
light,2015-02-13T16:50:03.4663138Z,light6,4,1784
temperature,2015-02-13T16:50:03.4793228Z,temperature7,4,24.33
energy,2015-02-13T16:50:03.4793228Z,energy7,4,3074
humidity,2015-02-13T16:50:03.4793228Z,humidity7,4,55
light,2015-02-13T16:50:03.4793228Z,light7,4,2032
temperature,2015-02-13T16:50:03.4893352Z,temperature8,4,29.46
energy,2015-02-13T16:50:03.4893352Z,energy8,4,4160
humidity,2015-02-13T16:50:03.4893352Z,humidity8,4,52
light,2015-02-13T16:50:03.4893352Z,light8,4,515
temperature,2015-02-13T16:50:03.4983365Z,temperature9,4,28.63
energy,2015-02-13T16:50:03.4983365Z,energy9,4,2315
humidity,2015-02-13T16:50:03.4983365Z,humidity9,4,79
light,2015-02-13T16:50:03.4983365Z,light9,4,1542
temperature,2015-02-13T16:50:04.5141823Z,temperature0,0,25.65
energy,2015-02-13T16:50:04.5141823Z,energy0,0,2150
humidity,2015-02-13T16:50:04.5141823Z,humidity0,0,58
light,2015-02-13T16:50:04.5141823Z,light0,0,1398
temperature,2015-02-13T16:50:04.5241283Z,temperature1,0,22.32
energy,2015-02-13T16:50:04.5241283Z,energy1,0,2837
humidity,2015-02-13T16:50:04.5241283Z,humidity1,0,71
light,2015-02-13T16:50:04.5241283Z,light1,0,727
temperature,2015-02-13T16:50:04.5381378Z,temperature2,0,25.98
energy,2015-02-13T16:50:04.5381378Z,energy2,0,4338
humidity,2015-02-13T16:50:04.5381378Z,humidity2,0,52
light,2015-02-13T16:50:04.5381378Z,light2,0,354
temperature,2015-02-13T16:50:04.5471439Z,temperature3,0,65.52
energy,2015-02-13T16:50:04.5481458Z,energy3,0,7933
humidity,2015-02-13T16:50:04.5481458Z,humidity3,0,47
light,2015-02-13T16:50:04.5481458Z,light3,0,256
temperature,2015-02-13T16:50:04.5561510Z,temperature4,0,26.68
energy,2015-02-13T16:50:04.5561510Z,energy4,0,4544
humidity,2015-02-13T16:50:04.5561510Z,humidity4,0,64
light,2015-02-13T16:50:04.5561510Z,light4,0,1391
temperature,2015-02-13T16:50:04.5691596Z,temperature5,0,23.68
energy,2015-02-13T16:50:04.5701610Z,energy5,0,3975
humidity,2015-02-13T16:50:04.5701610Z,humidity5,0,126
light,2015-02-13T16:50:04.5701610Z,light5,0,1573
temperature,2015-02-13T16:50:04.5791667Z,temperature6,0,25.92
energy,2015-02-13T16:50:04.5791667Z,energy6,0,2511
humidity,2015-02-13T16:50:04.5791667Z,humidity6,0,70
light,2015-02-13T16:50:04.5791667Z,light6,0,1114
temperature,2015-02-13T16:50:04.5881804Z,temperature7,0,25.85
energy,2015-02-13T16:50:04.5891742Z,energy7,0,2399
humidity,2015-02-13T16:50:04.5891742Z,humidity7,0,66
light,2015-02-13T16:50:04.5891742Z,light7,0,2812
temperature,2015-02-13T16:50:04.6011894Z,temperature8,0,27.75
energy,2015-02-13T16:50:04.6011894Z,energy8,0,5073
humidity,2015-02-13T16:50:04.6011894Z,humidity8,0,70
light,2015-02-13T16:50:04.6011894Z,light8,0,646
temperature,2015-02-13T16:50:04.6081871Z,temperature9,0,24.96
energy,2015-02-13T16:50:04.6081871Z,energy9,0,4603
humidity,2015-02-13T16:50:04.6091889Z,humidity9,0,75
light,2015-02-13T16:50:04.6091889Z,light9,0,384
temperature,2015-02-13T16:50:04.6202023Z,temperature0,1,20.89
energy,2015-02-13T16:50:04.6202023Z,energy0,1,4373
humidity,2015-02-13T16:50:04.6202023Z,humidity0,1,52
light,2015-02-13T16:50:04.6202023Z,light0,1,1269
temperature,2015-02-13T16:50:04.6282303Z,temperature1,1,20.18
energy,2015-02-13T16:50:04.6282303Z,energy1,1,2681
humidity,2015-02-13T16:50:04.6282303Z,humidity1,1,43
light,2015-02-13T16:50:04.6282303Z,light1,1,448
temperature,2015-02-13T16:50:04.6382369Z,temperature2,1,22.52
energy,2015-02-13T16:50:04.6382369Z,energy2,1,4775
humidity,2015-02-13T16:50:04.6382369Z,humidity2,1,60
light,2015-02-13T16:50:04.6382369Z,light2,1,217
temperature,2015-02-13T16:50:04.6492173Z,temperature3,1,67.55
energy,2015-02-13T16:50:04.6492173Z,energy3,1,9438
humidity,2015-02-13T16:50:04.6492173Z,humidity3,1,56
light,2015-02-13T16:50:04.6492173Z,light3,1,1747
temperature,2015-02-13T16:50:04.6582511Z,temperature4,1,24.68
energy,2015-02-13T16:50:04.6582511Z,energy4,1,3707
humidity,2015-02-13T16:50:04.6582511Z,humidity4,1,43
light,2015-02-13T16:50:04.6582511Z,light4,1,330
temperature,2015-02-13T16:50:04.6662354Z,temperature5,1,21.36
energy,2015-02-13T16:50:04.6672292Z,energy5,1,2474
humidity,2015-02-13T16:50:04.6672292Z,humidity5,1,145
light,2015-02-13T16:50:04.6672292Z,light5,1,993
temperature,2015-02-13T16:50:04.6762425Z,temperature6,1,21
energy,2015-02-13T16:50:04.6762425Z,energy6,1,3826
humidity,2015-02-13T16:50:04.6762425Z,humidity6,1,113
light,2015-02-13T16:50:04.6762425Z,light6,1,1156
temperature,2015-02-13T16:50:04.6852420Z,temperature7,1,27.12
energy,2015-02-13T16:50:04.6852420Z,energy7,1,4422
humidity,2015-02-13T16:50:04.6852420Z,humidity7,1,62
light,2015-02-13T16:50:04.6852420Z,light7,1,3584
temperature,2015-02-13T16:50:04.6942772Z,temperature8,1,34.58
energy,2015-02-13T16:50:04.6942772Z,energy8,1,3835
humidity,2015-02-13T16:50:04.6942772Z,humidity8,1,65
light,2015-02-13T16:50:04.6942772Z,light8,1,1122
temperature,2015-02-13T16:50:04.7022828Z,temperature9,1,23.1
energy,2015-02-13T16:50:04.7022828Z,energy9,1,4323
humidity,2015-02-13T16:50:04.7022828Z,humidity9,1,72
light,2015-02-13T16:50:04.7022828Z,light9,1,807
temperature,2015-02-13T16:50:04.7112605Z,temperature0,2,20.5
energy,2015-02-13T16:50:04.7112605Z,energy0,2,4477
humidity,2015-02-13T16:50:04.7112605Z,humidity0,2,52
light,2015-02-13T16:50:04.7112605Z,light0,2,1292
temperature,2015-02-13T16:50:04.7232971Z,temperature1,2,25.34
energy,2015-02-13T16:50:04.7232971Z,energy1,2,3624
humidity,2015-02-13T16:50:04.7232971Z,humidity1,2,47
light,2015-02-13T16:50:04.7232971Z,light1,2,1632
temperature,2015-02-13T16:50:04.7312814Z,temperature2,2,22.86
energy,2015-02-13T16:50:04.7312814Z,energy2,2,3470
humidity,2015-02-13T16:50:04.7312814Z,humidity2,2,72
light,2015-02-13T16:50:04.7312814Z,light2,2,2136
temperature,2015-02-13T16:50:04.7433117Z,temperature3,2,75.76
energy,2015-02-13T16:50:04.7433117Z,energy3,2,11842
humidity,2015-02-13T16:50:04.7433117Z,humidity3,2,40
light,2015-02-13T16:50:04.7433117Z,light3,2,1756
temperature,2015-02-13T16:50:04.7532916Z,temperature4,2,20.44
energy,2015-02-13T16:50:04.7532916Z,energy4,2,4188
humidity,2015-02-13T16:50:04.7532916Z,humidity4,2,62
light,2015-02-13T16:50:04.7532916Z,light4,2,1178
temperature,2015-02-13T16:50:04.7622969Z,temperature5,2,23.82
energy,2015-02-13T16:50:04.7622969Z,energy5,2,3272
humidity,2015-02-13T16:50:04.7622969Z,humidity5,2,120
light,2015-02-13T16:50:04.7622969Z,light5,2,868
temperature,2015-02-13T16:50:04.7713098Z,temperature6,2,23.28
energy,2015-02-13T16:50:04.7713098Z,energy6,2,3897
humidity,2015-02-13T16:50:04.7713098Z,humidity6,2,70
light,2015-02-13T16:50:04.7713098Z,light6,2,142
temperature,2015-02-13T16:50:04.7793083Z,temperature7,2,20.52
energy,2015-02-13T16:50:04.7793083Z,energy7,2,4305
humidity,2015-02-13T16:50:04.7793083Z,humidity7,2,63
light,2015-02-13T16:50:04.7793083Z,light7,2,3092
temperature,2015-02-13T16:50:04.7913177Z,temperature8,2,32.21
energy,2015-02-13T16:50:04.7913177Z,energy8,2,4661
humidity,2015-02-13T16:50:04.7913177Z,humidity8,2,48
light,2015-02-13T16:50:04.7913177Z,light8,2,610
temperature,2015-02-13T16:50:04.8003239Z,temperature9,2,27.6
energy,2015-02-13T16:50:04.8013257Z,energy9,2,2031
humidity,2015-02-13T16:50:04.8013257Z,humidity9,2,77
light,2015-02-13T16:50:04.8013257Z,light9,2,1067
temperature,2015-02-13T16:50:04.8093296Z,temperature0,3,23.67
energy,2015-02-13T16:50:04.8103315Z,energy0,3,4534
humidity,2015-02-13T16:50:04.8103315Z,humidity0,3,51
light,2015-02-13T16:50:04.8103315Z,light0,3,551
temperature,2015-02-13T16:50:04.8253410Z,temperature1,3,19.84
energy,2015-02-13T16:50:04.8253410Z,energy1,3,3655
humidity,2015-02-13T16:50:04.8253410Z,humidity1,3,42
light,2015-02-13T16:50:04.8253410Z,light1,3,408
temperature,2015-02-13T16:50:04.8353485Z,temperature2,3,23.25
energy,2015-02-13T16:50:04.8353485Z,energy2,3,3152
humidity,2015-02-13T16:50:04.8353485Z,humidity2,3,61
light,2015-02-13T16:50:04.8353485Z,light2,3,1349
temperature,2015-02-13T16:50:04.8473575Z,temperature3,3,61.33
energy,2015-02-13T16:50:04.8473575Z,energy3,3,8658
humidity,2015-02-13T16:50:04.8473575Z,humidity3,3,79
light,2015-02-13T16:50:04.8473575Z,light3,3,1188
temperature,2015-02-13T16:50:04.8563637Z,temperature4,3,23.49
energy,2015-02-13T16:50:04.8563637Z,energy4,3,4385
humidity,2015-02-13T16:50:04.8563637Z,humidity4,3,52
light,2015-02-13T16:50:04.8563637Z,light4,3,2603
temperature,2015-02-13T16:50:04.8693727Z,temperature5,3,23.83
energy,2015-02-13T16:50:04.8693727Z,energy5,3,2337
humidity,2015-02-13T16:50:04.8693727Z,humidity5,3,151
light,2015-02-13T16:50:04.8693727Z,light5,3,1006
temperature,2015-02-13T16:50:04.8793803Z,temperature6,3,28.08
energy,2015-02-13T16:50:04.8793803Z,energy6,3,2182
humidity,2015-02-13T16:50:04.8793803Z,humidity6,3,77
light,2015-02-13T16:50:04.8793803Z,light6,3,282
temperature,2015-02-13T16:50:04.8873850Z,temperature7,3,26.55
energy,2015-02-13T16:50:04.8883869Z,energy7,3,3984
humidity,2015-02-13T16:50:04.8883869Z,humidity7,3,44
light,2015-02-13T16:50:04.8883869Z,light7,3,355
temperature,2015-02-13T16:50:04.8964211Z,temperature8,3,32.71
energy,2015-02-13T16:50:04.8973939Z,energy8,3,5749
humidity,2015-02-13T16:50:04.8973939Z,humidity8,3,95
light,2015-02-13T16:50:04.8973939Z,light8,3,1049
temperature,2015-02-13T16:50:04.9063997Z,temperature9,3,20.99
energy,2015-02-13T16:50:04.9063997Z,energy9,3,2385
humidity,2015-02-13T16:50:04.9063997Z,humidity9,3,58
light,2015-02-13T16:50:04.9063997Z,light9,3,1489
temperature,2015-02-13T16:50:04.9214105Z,temperature0,4,25.09
energy,2015-02-13T16:50:04.9214105Z,energy0,4,4556
humidity,2015-02-13T16:50:04.9214105Z,humidity0,4,67
light,2015-02-13T16:50:04.9214105Z,light0,4,1266
temperature,2015-02-13T16:50:04.9304234Z,temperature1,4,22.06
energy,2015-02-13T16:50:04.9304234Z,energy1,4,4815
humidity,2015-02-13T16:50:04.9304234Z,humidity1,4,59
light,2015-02-13T16:50:04.9304234Z,light1,4,729
temperature,2015-02-13T16:50:04.9394233Z,temperature2,4,25.72
energy,2015-02-13T16:50:04.9394233Z,energy2,4,3048
humidity,2015-02-13T16:50:04.9394233Z,humidity2,4,76
light,2015-02-13T16:50:04.9394233Z,light2,4,95
temperature,2015-02-13T16:50:04.9484295Z,temperature3,4,72.87
energy,2015-02-13T16:50:04.9484295Z,energy3,4,13453
humidity,2015-02-13T16:50:04.9494304Z,humidity3,4,45
light,2015-02-13T16:50:04.9494304Z,light3,4,587
temperature,2015-02-13T16:50:04.9574424Z,temperature4,4,20.22
energy,2015-02-13T16:50:04.9574424Z,energy4,4,4121
humidity,2015-02-13T16:50:04.9574424Z,humidity4,4,55
light,2015-02-13T16:50:04.9574424Z,light4,4,2602
temperature,2015-02-13T16:50:04.9654686Z,temperature5,4,22.95
energy,2015-02-13T16:50:04.9654686Z,energy5,4,4640
humidity,2015-02-13T16:50:04.9654686Z,humidity5,4,123
light,2015-02-13T16:50:04.9654686Z,light5,4,1278
temperature,2015-02-13T16:50:04.9774566Z,temperature6,4,22.23
energy,2015-02-13T16:50:04.9774566Z,energy6,4,3302
humidity,2015-02-13T16:50:04.9774566Z,humidity6,4,115
light,2015-02-13T16:50:04.9774566Z,light6,4,521
temperature,2015-02-13T16:50:04.9874574Z,temperature7,4,23.15
energy,2015-02-13T16:50:04.9874574Z,energy7,4,3189
humidity,2015-02-13T16:50:04.9874574Z,humidity7,4,60
light,2015-02-13T16:50:04.9874574Z,light7,4,1199
temperature,2015-02-13T16:50:05.0024670Z,temperature8,4,27.64
energy,2015-02-13T16:50:05.0024670Z,energy8,4,4115
humidity,2015-02-13T16:50:05.0024670Z,humidity8,4,65
light,2015-02-13T16:50:05.0024670Z,light8,4,1038
temperature,2015-02-13T16:50:05.0115030Z,temperature9,4,23.64
energy,2015-02-13T16:50:05.0115030Z,energy9,4,2303
humidity,2015-02-13T16:50:05.0115030Z,humidity9,4,51
light,2015-02-13T16:50:05.0124781Z,light9,4,1697
temperature,2015-02-13T16:50:06.0231764Z,temperature0,0,24.85
energy,2015-02-13T16:50:06.0231764Z,energy0,0,4342
humidity,2015-02-13T16:50:06.0231764Z,humidity0,0,59
light,2015-02-13T16:50:06.0231764Z,light0,0,703
temperature,2015-02-13T16:50:06.0312093Z,temperature1,0,26.73
energy,2015-02-13T16:50:06.0312093Z,energy1,0,2218
humidity,2015-02-13T16:50:06.0312093Z,humidity1,0,55
light,2015-02-13T16:50:06.0312093Z,light1,0,1542
temperature,2015-02-13T16:50:06.0451916Z,temperature2,0,27.28
energy,2015-02-13T16:50:06.0451916Z,energy2,0,3947
humidity,2015-02-13T16:50:06.0451916Z,humidity2,0,60
light,2015-02-13T16:50:06.0451916Z,light2,0,910
temperature,2015-02-13T16:50:06.0582069Z,temperature3,0,74.25
energy,2015-02-13T16:50:06.0582069Z,energy3,0,9572
humidity,2015-02-13T16:50:06.0582069Z,humidity3,0,58
light,2015-02-13T16:50:06.0582069Z,light3,0,1229
temperature,2015-02-13T16:50:06.0772201Z,temperature4,0,23.38
energy,2015-02-13T16:50:06.0772201Z,energy4,0,4820
humidity,2015-02-13T16:50:06.0772201Z,humidity4,0,56
light,2015-02-13T16:50:06.0772201Z,light4,0,2206
temperature,2015-02-13T16:50:06.0892220Z,temperature5,0,21.19
energy,2015-02-13T16:50:06.0902238Z,energy5,0,2614
humidity,2015-02-13T16:50:06.0902238Z,humidity5,0,85
light,2015-02-13T16:50:06.0902238Z,light5,0,455
temperature,2015-02-13T16:50:06.1042324Z,temperature6,0,27.52
energy,2015-02-13T16:50:06.1042324Z,energy6,0,3829
humidity,2015-02-13T16:50:06.1042324Z,humidity6,0,106
light,2015-02-13T16:50:06.1042324Z,light6,0,365
temperature,2015-02-13T16:50:06.1182450Z,temperature7,0,25.12
energy,2015-02-13T16:50:06.1182450Z,energy7,0,3625
humidity,2015-02-13T16:50:06.1182450Z,humidity7,0,75
light,2015-02-13T16:50:06.1182450Z,light7,0,3984
temperature,2015-02-13T16:50:06.1272499Z,temperature8,0,28.43
energy,2015-02-13T16:50:06.1272499Z,energy8,0,3950
humidity,2015-02-13T16:50:06.1282512Z,humidity8,0,67
light,2015-02-13T16:50:06.1282512Z,light8,0,999
temperature,2015-02-13T16:50:06.1372565Z,temperature9,0,23.47
energy,2015-02-13T16:50:06.1372565Z,energy9,0,2251
humidity,2015-02-13T16:50:06.1372565Z,humidity9,0,77
light,2015-02-13T16:50:06.1372565Z,light9,0,382
temperature,2015-02-13T16:50:06.1472703Z,temperature0,1,20.15
energy,2015-02-13T16:50:06.1482655Z,energy0,1,4733
humidity,2015-02-13T16:50:06.1482655Z,humidity0,1,58
light,2015-02-13T16:50:06.1482655Z,light0,1,1282
temperature,2015-02-13T16:50:06.1572712Z,temperature1,1,27.92
energy,2015-02-13T16:50:06.1572712Z,energy1,1,2261
humidity,2015-02-13T16:50:06.1572712Z,humidity1,1,61
light,2015-02-13T16:50:06.1572712Z,light1,1,1585
temperature,2015-02-13T16:50:06.1652764Z,temperature2,1,19.85
energy,2015-02-13T16:50:06.1662849Z,energy2,1,4004
humidity,2015-02-13T16:50:06.1662849Z,humidity2,1,46
light,2015-02-13T16:50:06.1662849Z,light2,1,1005
temperature,2015-02-13T16:50:06.1762849Z,temperature3,1,72.73
energy,2015-02-13T16:50:06.1762849Z,energy3,1,9460
humidity,2015-02-13T16:50:06.1762849Z,humidity3,1,70
light,2015-02-13T16:50:06.1762849Z,light3,1,643
temperature,2015-02-13T16:50:06.1902948Z,temperature4,1,26.92
energy,2015-02-13T16:50:06.1902948Z,energy4,1,2708
humidity,2015-02-13T16:50:06.1902948Z,humidity4,1,61
light,2015-02-13T16:50:06.1902948Z,light4,1,382
temperature,2015-02-13T16:50:06.1993073Z,temperature5,1,23.37
energy,2015-02-13T16:50:06.1993073Z,energy5,1,2553
humidity,2015-02-13T16:50:06.2003028Z,humidity5,1,105
light,2015-02-13T16:50:06.2003028Z,light5,1,488
temperature,2015-02-13T16:50:06.2103376Z,temperature6,1,26.88
energy,2015-02-13T16:50:06.2103376Z,energy6,1,3600
humidity,2015-02-13T16:50:06.2103376Z,humidity6,1,126
light,2015-02-13T16:50:06.2103376Z,light6,1,544
temperature,2015-02-13T16:50:06.2213242Z,temperature7,1,20.44
energy,2015-02-13T16:50:06.2213242Z,energy7,1,4646
humidity,2015-02-13T16:50:06.2213242Z,humidity7,1,50
light,2015-02-13T16:50:06.2213242Z,light7,1,1345
temperature,2015-02-13T16:50:06.2393312Z,temperature8,1,23.87
energy,2015-02-13T16:50:06.2393312Z,energy8,1,3132
humidity,2015-02-13T16:50:06.2403317Z,humidity8,1,84
light,2015-02-13T16:50:06.2403317Z,light8,1,419
temperature,2015-02-13T16:50:06.2493437Z,temperature9,1,26.6
energy,2015-02-13T16:50:06.2493437Z,energy9,1,2895
humidity,2015-02-13T16:50:06.2493437Z,humidity9,1,54
light,2015-02-13T16:50:06.2493437Z,light9,1,1375
temperature,2015-02-13T16:50:06.2603722Z,temperature0,2,20.43
energy,2015-02-13T16:50:06.2603722Z,energy0,2,4287
humidity,2015-02-13T16:50:06.2603722Z,humidity0,2,46
light,2015-02-13T16:50:06.2603722Z,light0,2,1627
temperature,2015-02-13T16:50:06.2703526Z,temperature1,2,23.25
energy,2015-02-13T16:50:06.2703526Z,energy1,2,3232
humidity,2015-02-13T16:50:06.2703526Z,humidity1,2,51
light,2015-02-13T16:50:06.2703526Z,light1,2,1736
temperature,2015-02-13T16:50:06.2783565Z,temperature2,2,25.86
energy,2015-02-13T16:50:06.2793579Z,energy2,2,2128
humidity,2015-02-13T16:50:06.2793579Z,humidity2,2,70
light,2015-02-13T16:50:06.2793579Z,light2,2,383
temperature,2015-02-13T16:50:06.2913945Z,temperature3,2,69.25
energy,2015-02-13T16:50:06.2913945Z,energy3,2,12129
humidity,2015-02-13T16:50:06.2913945Z,humidity3,2,72
light,2015-02-13T16:50:06.2913945Z,light3,2,1565
temperature,2015-02-13T16:50:06.3013788Z,temperature4,2,25.92
energy,2015-02-13T16:50:06.3013788Z,energy4,2,2552
humidity,2015-02-13T16:50:06.3013788Z,humidity4,2,77
light,2015-02-13T16:50:06.3013788Z,light4,2,939
temperature,2015-02-13T16:50:06.3093859Z,temperature5,2,20.63
energy,2015-02-13T16:50:06.3093859Z,energy5,2,2703
humidity,2015-02-13T16:50:06.3093859Z,humidity5,2,150
light,2015-02-13T16:50:06.3093859Z,light5,2,215
temperature,2015-02-13T16:50:06.3224163Z,temperature6,2,23.57
energy,2015-02-13T16:50:06.3224163Z,energy6,2,4451
humidity,2015-02-13T16:50:06.3224163Z,humidity6,2,91
light,2015-02-13T16:50:06.3224163Z,light6,2,861
temperature,2015-02-13T16:50:06.3313948Z,temperature7,2,26.28
energy,2015-02-13T16:50:06.3313948Z,energy7,2,3572
humidity,2015-02-13T16:50:06.3313948Z,humidity7,2,63
light,2015-02-13T16:50:06.3313948Z,light7,2,1996
temperature,2015-02-13T16:50:06.3404023Z,temperature8,2,33.46
energy,2015-02-13T16:50:06.3404023Z,energy8,2,5083
humidity,2015-02-13T16:50:06.3404023Z,humidity8,2,50
light,2015-02-13T16:50:06.3404023Z,light8,2,1114
temperature,2015-02-13T16:50:06.3594147Z,temperature9,2,19.78
energy,2015-02-13T16:50:06.3594147Z,energy9,2,3038
humidity,2015-02-13T16:50:06.3604156Z,humidity9,2,74
light,2015-02-13T16:50:06.3604156Z,light9,2,653
temperature,2015-02-13T16:50:06.3824312Z,temperature0,3,22.16
energy,2015-02-13T16:50:06.3834389Z,energy0,3,2039
humidity,2015-02-13T16:50:06.3834389Z,humidity0,3,64
light,2015-02-13T16:50:06.3834389Z,light0,3,93
temperature,2015-02-13T16:50:06.3944438Z,temperature1,3,20.97
energy,2015-02-13T16:50:06.3944438Z,energy1,3,2262
humidity,2015-02-13T16:50:06.3944438Z,humidity1,3,70
light,2015-02-13T16:50:06.3944438Z,light1,3,417
temperature,2015-02-13T16:50:06.4024736Z,temperature2,3,23.39
energy,2015-02-13T16:50:06.4024736Z,energy2,3,4573
humidity,2015-02-13T16:50:06.4024736Z,humidity2,3,61
light,2015-02-13T16:50:06.4024736Z,light2,3,1221
temperature,2015-02-13T16:50:06.4154603Z,temperature3,3,64.82
energy,2015-02-13T16:50:06.4154603Z,energy3,3,5669
humidity,2015-02-13T16:50:06.4154603Z,humidity3,3,66
light,2015-02-13T16:50:06.4154603Z,light3,3,1525
temperature,2015-02-13T16:50:06.4244673Z,temperature4,3,28.88
energy,2015-02-13T16:50:06.4254620Z,energy4,3,2162
humidity,2015-02-13T16:50:06.4254620Z,humidity4,3,59
light,2015-02-13T16:50:06.4254620Z,light4,3,1488
temperature,2015-02-13T16:50:06.4344677Z,temperature5,3,28.83
energy,2015-02-13T16:50:06.4344677Z,energy5,3,4321
humidity,2015-02-13T16:50:06.4344677Z,humidity5,3,104
light,2015-02-13T16:50:06.4344677Z,light5,3,246
temperature,2015-02-13T16:50:06.4475062Z,temperature6,3,23.72
energy,2015-02-13T16:50:06.4475062Z,energy6,3,2827
humidity,2015-02-13T16:50:06.4475062Z,humidity6,3,82
light,2015-02-13T16:50:06.4475062Z,light6,3,1408
temperature,2015-02-13T16:50:06.4564843Z,temperature7,3,26.62
energy,2015-02-13T16:50:06.4564843Z,energy7,3,2536
humidity,2015-02-13T16:50:06.4564843Z,humidity7,3,73
light,2015-02-13T16:50:06.4564843Z,light7,3,1352
temperature,2015-02-13T16:50:06.4644966Z,temperature8,3,27.06
energy,2015-02-13T16:50:06.4644966Z,energy8,3,4374
humidity,2015-02-13T16:50:06.4644966Z,humidity8,3,51
light,2015-02-13T16:50:06.4644966Z,light8,3,185
temperature,2015-02-13T16:50:06.4765043Z,temperature9,3,25.34
energy,2015-02-13T16:50:06.4765043Z,energy9,3,4153
humidity,2015-02-13T16:50:06.4765043Z,humidity9,3,78
light,2015-02-13T16:50:06.4765043Z,light9,3,613
temperature,2015-02-13T16:50:06.4865056Z,temperature0,4,20.3
energy,2015-02-13T16:50:06.4865056Z,energy0,4,2590
humidity,2015-02-13T16:50:06.4865056Z,humidity0,4,42
light,2015-02-13T16:50:06.4865056Z,light0,4,1498
temperature,2015-02-13T16:50:06.4975118Z,temperature1,4,28.83
energy,2015-02-13T16:50:06.4985132Z,energy1,4,2107
humidity,2015-02-13T16:50:06.4985132Z,humidity1,4,43
light,2015-02-13T16:50:06.4985132Z,light1,4,1589
temperature,2015-02-13T16:50:06.5075256Z,temperature2,4,20.71
energy,2015-02-13T16:50:06.5075256Z,energy2,4,2581
humidity,2015-02-13T16:50:06.5075256Z,humidity2,4,64
light,2015-02-13T16:50:06.5075256Z,light2,4,2082
temperature,2015-02-13T16:50:06.5165318Z,temperature3,4,77.85
energy,2015-02-13T16:50:06.5165318Z,energy3,4,8236
humidity,2015-02-13T16:50:06.5165318Z,humidity3,4,54
light,2015-02-13T16:50:06.5165318Z,light3,4,860
temperature,2015-02-13T16:50:06.5245598Z,temperature4,4,26.73
energy,2015-02-13T16:50:06.5245598Z,energy4,4,3428
humidity,2015-02-13T16:50:06.5245598Z,humidity4,4,64
light,2015-02-13T16:50:06.5245598Z,light4,4,2331
temperature,2015-02-13T16:50:06.5425454Z,temperature5,4,27.11
energy,2015-02-13T16:50:06.5425454Z,energy5,4,4864
humidity,2015-02-13T16:50:06.5425454Z,humidity5,4,123
light,2015-02-13T16:50:06.5425454Z,light5,4,410
temperature,2015-02-13T16:50:06.5525801Z,temperature6,4,19.95
energy,2015-02-13T16:50:06.5525801Z,energy6,4,2652
humidity,2015-02-13T16:50:06.5525801Z,humidity6,4,79
light,2015-02-13T16:50:06.5525801Z,light6,4,1468
temperature,2015-02-13T16:50:06.5605858Z,temperature7,4,28.33
energy,2015-02-13T16:50:06.5605858Z,energy7,4,3603
humidity,2015-02-13T16:50:06.5605858Z,humidity7,4,49
light,2015-02-13T16:50:06.5605858Z,light7,4,1081
temperature,2015-02-13T16:50:06.5705925Z,temperature8,4,24.51
energy,2015-02-13T16:50:06.5705925Z,energy8,4,2882
humidity,2015-02-13T16:50:06.5705925Z,humidity8,4,70
light,2015-02-13T16:50:06.5705925Z,light8,4,1424
temperature,2015-02-13T16:50:06.5785977Z,temperature9,4,26.41
energy,2015-02-13T16:50:06.5785977Z,energy9,4,3199
humidity,2015-02-13T16:50:06.5785977Z,humidity9,4,45
light,2015-02-13T16:50:06.5785977Z,light9,4,739
temperature,2015-02-13T16:50:07.5884321Z,temperature0,0,21.34
energy,2015-02-13T16:50:07.5884321Z,energy0,0,3158
humidity,2015-02-13T16:50:07.5884321Z,humidity0,0,66
light,2015-02-13T16:50:07.5884321Z,light0,0,1005
